Price,Close,High,Low,Open,Volume
Ticker,^HSI,^HSI,^HSI,^HSI,^HSI
2007-11-06,29438.130859375,29470.970703125,28479.029296875,29220.0390625,3051500000.0
2007-11-07,29708.9296875,30195.640625,29596.1796875,30054.080078125,2510200000.0
2007-11-08,28760.220703125,29009.369140625,28545.69921875,28758.720703125,2681600000.0
2007-11-09,28783.41015625,29249.94921875,28408.529296875,28510.529296875,2419000000.0
2007-11-12,27665.73046875,28071.529296875,27468.0,28061.44921875,2892800000.0
2007-11-13,27803.349609375,28010.970703125,26952.939453125,27561.5703125,3266000000.0
2007-11-14,29166.009765625,29175.259765625,28622.970703125,28787.400390625,2952900000.0
2007-11-15,28751.2109375,29249.990234375,28730.30078125,29078.2109375,1852800000.0
2007-11-16,27614.4296875,28120.419921875,27496.150390625,28037.1796875,2922800000.0
2007-11-19,27460.169921875,27801.529296875,27300.2890625,27628.970703125,1637300000.0
2007-11-20,27771.2109375,27851.310546875,26404.279296875,26583.640625,2942600000.0
2007-11-21,26618.189453125,27303.91015625,26500.5390625,27277.720703125,2568000000.0
2007-11-22,26004.919921875,27003.869140625,25861.73046875,26318.2109375,2503400000.0
2007-11-23,26541.08984375,26723.33984375,26305.44921875,26484.740234375,1759700000.0
2007-11-26,27626.619140625,27643.560546875,27311.880859375,27398.529296875,2287900000.0
2007-11-27,27210.2109375,27552.33984375,26637.609375,26704.759765625,3300500000.0
2007-11-28,27371.240234375,27455.810546875,27028.669921875,27315.9296875,1596700000.0
2007-11-29,28482.5390625,28667.26953125,28114.6796875,28337.109375,3118200000.0
2007-11-30,28643.609375,28792.30078125,28436.7109375,28604.6796875,1761200000.0
2007-12-03,28658.419921875,29119.73046875,28658.419921875,28825.029296875,1481700000.0
2007-12-04,28879.58984375,29020.7890625,28544.1796875,28544.1796875,1117800000.0
2007-12-05,29345.44921875,29411.390625,28712.470703125,28942.23046875,2070400000.0
2007-12-06,29558.919921875,29889.349609375,29530.3203125,29769.150390625,2528800000.0
2007-12-07,28842.470703125,29962.9296875,28838.939453125,29890.640625,2621600000.0
2007-12-10,28501.099609375,29137.890625,28445.669921875,29017.69921875,2767000000.0
2007-12-11,29226.83984375,29235.2109375,28726.130859375,28947.69921875,1822500000.0
2007-12-12,28521.060546875,28777.279296875,28343.2109375,28611.640625,2741100000.0
2007-12-13,27744.44921875,28604.169921875,27606.23046875,28518.779296875,2963000000.0
2007-12-14,27563.640625,27813.8203125,27245.169921875,27708.310546875,2426900000.0
2007-12-17,26596.580078125,27245.509765625,26551.369140625,27236.44921875,2406700000.0
2007-12-18,26732.869140625,26912.2890625,26093.9609375,26515.08984375,2245700000.0
2007-12-19,27029.259765625,27214.650390625,26670.849609375,26880.08984375,1637100000.0
2007-12-20,27017.08984375,27203.890625,26957.650390625,27034.599609375,1421500000.0
2007-12-21,27626.919921875,27670.310546875,27192.80078125,27192.80078125,1608500000.0
2007-12-24,28128.80078125,28191.259765625,27954.279296875,27965.25,1238100000.0
2007-12-25,28128.80078125,28191.259765625,27954.279296875,27965.25,1238100000.0
2007-12-26,28128.80078125,28191.259765625,27954.279296875,27965.25,1238100000.0
2007-12-27,27842.9296875,28343.390625,27842.9296875,28337.470703125,1551900000.0
2007-12-28,27370.599609375,27678.400390625,27296.859375,27511.5390625,1772100000.0
2007-12-31,27812.650390625,27820.140625,27437.939453125,27437.939453125,853800000.0
2008-01-01,27812.650390625,27820.140625,27437.939453125,27437.939453125,853800000.0
2008-01-02,27560.51953125,27853.599609375,27299.44921875,27632.19921875,1232100000.0
2008-01-03,26887.279296875,27223.7109375,26864.130859375,27050.029296875,2442700000.0
2008-01-04,27519.689453125,27596.859375,26994.849609375,27004.33984375,2375500000.0
2008-01-07,27179.490234375,27186.0703125,26698.5390625,26962.5390625,2452900000.0
2008-01-08,27112.900390625,27637.599609375,27088.69921875,27466.9609375,2492400000.0
2008-01-09,27615.849609375,27625.830078125,26757.029296875,26847.490234375,2714700000.0
2008-01-10,27230.859375,27596.5,27115.8203125,27426.419921875,2704600000.0
2008-01-11,26867.009765625,27593.69921875,26725.94921875,27435.509765625,2950300000.0
2008-01-14,26468.130859375,27142.880859375,26464.640625,27019.130859375,2050200000.0
2008-01-15,25837.779296875,26800.51953125,25823.5,26728.9296875,2333400000.0
2008-01-16,24450.849609375,25131.109375,24320.029296875,25131.109375,4294600000.0
2008-01-17,25114.98046875,25381.91015625,23957.609375,24705.080078125,3535100000.0
2008-01-18,25201.869140625,25378.240234375,24134.25,24247.169921875,3155100000.0
2008-01-21,23818.859375,24650.279296875,23770.130859375,24459.01953125,3252100000.0
2008-01-22,21757.630859375,22713.689453125,21709.630859375,22624.2890625,5979700000.0
2008-01-23,24090.169921875,24239.98046875,22647.279296875,23359.19921875,5350500000.0
2008-01-24,23539.26953125,24966.169921875,23478.869140625,24396.849609375,4254000000.0
2008-01-25,25122.369140625,25243.580078125,24483.9296875,24801.4609375,3929000000.0
2008-01-28,24053.609375,24384.26953125,23586.51953125,24342.390625,3088000000.0
2008-01-29,24291.80078125,24736.80078125,24229.140625,24640.099609375,1953200000.0
2008-01-30,23653.689453125,24631.58984375,23586.369140625,24605.150390625,2550800000.0
2008-01-31,23455.740234375,23887.169921875,23052.94921875,23789.720703125,2460000000.0
2008-02-01,24123.580078125,24238.30078125,23322.05078125,23791.919921875,3429300000.0
2008-02-04,25032.080078125,25101.41015625,24728.5,24885.0703125,3259200000.0
2008-02-05,24808.69921875,24961.98046875,24504.529296875,24710.099609375,1704100000.0
2008-02-06,23469.4609375,23592.310546875,23283.970703125,23458.150390625,2714600000.0
2008-02-07,23469.4609375,23592.310546875,23283.970703125,23458.150390625,2714600000.0
2008-02-08,23469.4609375,23592.310546875,23283.970703125,23458.150390625,2714600000.0
2008-02-11,22616.109375,23404.740234375,22569.529296875,23404.740234375,2369900000.0
